Feedback,Category,Sentiment
Nokia May Be Helpful until Microsoft - Management analysts have faith that the reason for nonexistence of...,Administration,Neutral
Craving sushi? Then this is the place to go. It's well worth the drive to Mt. Lebanon. I wouldn't be surprised to find out that the fish was flown in multiple times a day.  It's always so fresh. The sushi gets 5 stars.The staff is also incredible. The owner goes out of his way to walk around and che,Administration,Positive
it is!! Make sure to support the Kerry team with our great fundraiser this Friday! Happy Saturday!,Faculty,Positive
Dustin Johnson off to a flyer yet again! All he needs to do is stay off the coke on Saturday night.,Hostel,Negative
"roman coppola may never become the filmmaker his dad was , but heck  few filmmakers will . but based on cq , i'll certainly be keeping an eye out for his next project .",Academics,Positive
praying for Judy!! May the Lord Jesus fill your room with His Love and protection!! God Bless you!! John 3:16,Hostel,Positive
"parker should be commended for taking a fresh approach to familiar material , but his determination to remain true to the original text leads him to adopt a somewhat mannered tone . . . that ultimately dulls the human tragedy at the story's core .",Faculty,Negative
I think and I were talking about Saturday how cool it would be to perform Bebop songs with Yoko Kanno in attendance.,Academics,Positive
nice and clean with well organized large selection but was expensive. I was looking for some twin size thin cotton blankets easy to wash and hang dry for my dog and the prices were $14.99 of course somewere high quality items which u would have to pay new retail store price $40-50 but still overpric,Academics,Neutral
I just cried over a dead badger named Shreddie on Animal Planet. Another tough Friday night.,Hostel,Negative
Does anyone in my Challenge &amp; Change class have the Baby Boom sheet for the test tomorrow?,Academics,Neutral
it's lost the politics and the social observation and become just another situation romance about a couple of saps stuck in an inarticulate screenplay .,Others,Negative
"Pretty good carry out...generous portions, quickly prepared (within 10 minutes of calling) and overall delicious for the generic Chinese take-out restaurant.",Others,Positive
Apple will be hosting its next iPhone reveal event on September 9 at 9AM PST. You can watch a live stream of the event at GameSpot's ...,Others,Neutral
Beautiful campus with green spaces providing peaceful environment for studies,Facilities,Positive
"""When my professor passes out candy and says \""""""""a very small amount of that may be from Valentines day\u002c just so you know\""""""""""",Faculty,Neutral
"""College game day, free pizza, and Christina Perri and Ed Sheeran tonight. Happy Saturday, lovelies!""",Others,Positive
Holiday schedules are communicated at the start of the semester.,Administration,Positive
So Caitlyn Jenner may be charged with manslaughter. Bruce you sly bastard you found a way into a female correctional facility!,Facilities,Neutral
"This store is small, so the merch is limited, but the volunteer staff does a pretty good job of keeping it stocked. There is always new stuff there. The real draw of this place is that it is cheap. I mean, it beats the pants off the prices at any other thrift store in town. There's furniture too. Ad",Administration,Positive
I was determined to let this one pass (experience was not worth commentary) until I made a disturbing discovery...\n\nI made a reservation for inside. They sat us outside. That turned out to be preferable to us because the tables that WERE available inside were very close to others. The patio was sp,Others,Negative
"though this rude and crude film does deliver a few gut-busting laughs , its digs at modern society are all things we've seen before .",Others,Negative
One of our staff members giving a speech at the protest in front of Planned Parenthood in Orange on Saturday....,Administration,Neutral
We are teaching kids that it's ok for guys to be in touch with their feminine side...and that Caitlyn Jenner may be a cow...,Faculty,Negative
Monday Twilight Schools Football Last night was the final evening for Twilight Football. It was a very close...,Hostel,Neutral
Talk about post holiday blues.15 seconds of George Osborne's voice undoes all the good of a week in the sun. Personification of a wet Monday,Administration,Negative
"Club activities are available across technical, cultural, and social domains.",Others,Neutral
I have been frequently shopping at this Michaels store over the last couple months since I began taking a cake decorating class and hosted a large baby shower at my home. The store has typically had the supplies that I need from cake and cupcake baking and icing to scrap booking supplies. This locat,Academics,Neutral
"If you are not from the area, just the very mention of \""The Y\"" invokes images of outdated facilities, worn out equipment and a sketchy membership base.  A visit to the Harris Y in Southpark should erase all such visual associations.\n\nLike other metro Charlotte Ys, the Harris has abundant floor s",Facilities,Positive
"We went to Dixie's Tavern before the Bobcats Arena opened (i.e., when you could find free parking in Uptown).  We parked in Seventh Street Station (for free back then) and walked across the street to Dixie's.   Places like Roadhouse Grill, Logan's Roadhouse, and Texas Roadhouse are designed to look",Facilities,Negative
"by taking entertainment tonight subject matter and giving it humor and poignancy , auto focus becomes both gut-bustingly funny and crushingly depressing .",Academics,Positive
"Where to start ... First we checked in after trying to park for seemingly forever (we noticed on the way out - that the sign directing you to the parking deck is only posted on the way OUT of the property - not on the way in so when you come in late and it's dark, you'd never see it!  Room was decen",Facilities,Negative
2nd night Parker has been on it ..boy oh boy,Hostel,Negative
Zimmerman to appear in court: A notice to appear was filed Thursday in the case against George Zimmerman.,Facilities,Neutral
Frank ocean puttin me to sleep thinkin of the past on this Sat. night relaxin with ace and mike. But eyes on the future :) an no lookin back,Hostel,Positive
Campus provides excellent facilities for student clubs and societies,Facilities,Positive
